publishedAt,authorDisplayName,comment,likeCount
2023-05-07T01:59:05Z,Kayla Azzahra,wapresnya ganjar yg cocok<br>di antarannya<br>1. Abu janda<br>2. Denny siregar<br>3. Andian napitapulu<br>4. Ade armando,0
2023-05-07T01:57:35Z,Simon Balusdulah,Siapapun cawapresnya kami jamin Ganjar pranowo menang,0
2023-05-07T01:35:20Z,Ilman Haq,Survey org gila,0
2023-05-07T01:12:42Z,Doharjo Pasaribu,"Prabowo, Mahfud MD maju, satu putaran menang😊",0
2023-05-07T01:11:45Z,Mulkan Nada Jatinugraha,survei nya selalu meleset bosss,0
2023-05-07T00:58:43Z,Kurniadi,Prabowo  x fadliyon ... Mantab<br>Anis x  novel bm..josss,0
2023-05-07T00:58:15Z,Fahrun Fahrun,Apa lagi Lembaga survei yg ini paling penipu.,0
2023-05-07T00:55:18Z,Fahrun Fahrun,"Sudah mulai di atur. <br>Semua orang Indonesia sudah mulai di goblo, in",0
2023-05-07T00:48:41Z,userrr,"Sangat politis banget mas2 yang mewakili partai biru,mati hidup tetap berseberangan",0
2023-05-07T00:46:13Z,Ciko TV,Ini kmren ganjar 26% Prabowo 31% Anis 20% kok Ganjar tiba2 naik? 😂😂😂😂 GX masuk akal... Klo mau naik makin hari ya Prabowo 😂😂 wah Ganjar naik nya pesat bener jangan2 di tuker tuh ... 😂😂😂  Mau bangun IKN aja butuh proses .. apa lagi naik elektabilitas butuh proses bos😂😂😂,0
2023-05-07T00:41:40Z,moch sholeh,seandaiya pak anis sama wali kota probolinggo habib hadi... sudah jelas menang... ❤❤❤❤❤,1
2023-05-07T00:40:12Z,HARRY NOTOPROJO,Anies Bambang tri,0
2023-05-07T00:18:53Z,Armin skh,PDIP dan ganjar makin terdepan. Waspadai perubahan mundur lagi,0
2023-05-07T00:07:58Z,Elisabet Tundur,Anies kan orang lama juga...kan pernh di kabinet...,0
2023-05-07T00:00:29Z,Lewi Lewi,saya rakyat jw tmr ttp pk anis presiden 204 gk percaya sama surve,0
2023-05-06T23:58:51Z,Demak Beramal,Prabowo /Muhaimin   bisa menang Ganjar Pranowo.<br>Prabowo /Mahfud MD.Kofifah .Erich Tohir .Yeni Wahid .  Pak Prabowo menang  .,0
2023-05-06T23:49:22Z,Topan Try,Kalau 2 putaran yg jadi prabowo..soalnya masanya anis kembali ke pak brabowo,0
2023-05-06T23:35:36Z,Tri Setyo Gumiarto,Koq masih ada vidio soal jalan rusak di jateng.....apa surveynya enggak nyampe kesana,0
2023-05-06T23:23:03Z,Anti kadal gurun,"Alhamdulillah yohanes anis baswedan makin tenggelam,  jangan biarkan IMIGRAN YAMAN jadi presiden RI,  HARAM HUKUMNYA,  jangan pernah merubah sejarah, presiden RI harus WNI ASLI... bukan onta yaman...",0
